Cues,Targets,Target Normed?,Sample Size,# Subjects Producing Target ,Forward Strength,Backward Strength,Mediated Strength,Cue Set Size,# Cue Competitors,Cue Competitor Strength,Cue Frequency (K&F),Target Set Size,# Target Competitors,Target Competitor Strength,Target Frequency (K&F)
TAXI,RIDE,YES,147,2,0.014,0,0.0143,7,3,0.21,16,14,11,0.629,49
TAXI,TRANSPORTATION,YES,147,3,0.02,0,0.0043,7,4,0.741,16,9,7,0.352,43
TAXI,YELLOW,YES,147,14,0.095,0,0.072,7,4,0.258,16,20,18,0.826,55
TEA,BAG,YES,149,13,0.087,0,0,11,9,0.726,28,17,16,0.898,42
TEA,COFFEE,YES,149,55,0.369,0.442,0.0057,11,7,0.323,28,13,10,0.39,78
TEA,CUP,YES,149,8,0.054,0.056,0.0196,11,7,0.323,28,10,7,0.734,45
TEA,DRINK,YES,149,10,0.067,0,0.0184,11,5,0.222,28,20,18,0.788,82
TEA,HERBAL,NO,149,4,0.027,0,0,11,10,0.813,28,0,0,0,0
TEA,HOT,YES,149,5,0.034,0,0.0009,11,8,0.698,28,8,8,0.893,130
TEA,ICE,YES,149,12,0.081,0,0,11,7,0.631,28,18,15,0.821,45
TEA,LEAVES,YES,149,8,0.054,0,0,11,9,0.759,28,10,9,0.884,26
TEA,LEMON,YES,149,5,0.034,0,0,11,9,0.779,28,11,11,0.93,18
TEA,PARTY,YES,149,3,0.02,0,0,11,8,0.726,28,22,20,0.756,216
TEA,POT,YES,149,2,0.013,0.021,0,11,9,0.8,28,15,14,0.835,33
TEACH,CHILDREN,YES,164,5,0.028,0,0,15,12,0.672,41,17,16,0.812,346
TEACH,CLASS,YES,164,4,0.022,0,0.0114,15,8,0.198,41,23,19,0.441,207
TEACH,EDUCATE,YES,164,6,0.037,0.152,0,15,9,0.194,41,7,2,0.113,7
TEACH,GIVE,YES,164,2,0.011,0,0.0027,15,12,0.763,41,13,11,0.76,291
TEACH,INSTRUCT,YES,164,11,0.067,0.529,0,15,11,0.664,41,12,8,0.261,3
TEACH,KNOW,YES,164,2,0.011,0,0.044,15,12,0.359,41,24,20,0.595,683
TEACH,LEARN,YES,164,68,0.415,0.178,0.0252,15,7,0.161,41,19,14,0.383,84
TEACH,LESSON,YES,164,2,0.011,0.11,0,15,9,0.209,41,14,9,0.233,29
TEACH,PROFESSOR,YES,164,2,0.011,0.05,0.0042,15,10,0.653,41,11,8,0.231,57
TEACH,SCHOOL,YES,164,14,0.085,0,0.0916,15,6,0.133,41,22,16,0.631,492
TEACH,SHARE,YES,164,2,0.011,0,0.0004,15,12,0.763,41,20,18,0.455,98
TEACH,SHOW,YES,164,4,0.022,0,0,15,13,0.763,41,24,23,0.801,287
TEACH,STUDENT,YES,164,2,0.011,0,0.0143,15,8,0.576,41,22,18,0.48,131
TEACH,TAUGHT,NO,164,2,0.011,0,0,15,14,0.785,41,0,0,0,0
TEACH,TEACHER,YES,164,7,0.043,0.02,0.0202,15,5,0.083,41,12,6,0.218,80
TEACHER,APPLE,YES,146,5,0.034,0,0,12,11,0.731,80,17,17,0.897,9
TEACHER,BOOK,YES,146,2,0.014,0,0.015,12,7,0.298,80,15,12,0.81,193
TEACHER,CLASS,YES,146,10,0.068,0.061,0.0081,12,5,0.204,80,23,18,0.427,207
TEACHER,FRIEND,YES,146,6,0.041,0,0.0015,12,9,0.582,80,22,20,0.799,133
TEACHER,HELP,YES,146,2,0.014,0,0,12,10,0.71,80,23,21,0.723,311
TEACHER,INSTRUCTOR,YES,146,11,0.074,0.566,0,12,7,0.34,80,6,1,0.014,8
TEACHER,LEARN,YES,146,10,0.068,0,0.0202,12,6,0.426,80,19,13,0.455,84
TEACHER,PROFESSOR,YES,146,11,0.074,0.511,0.0138,12,7,0.367,80,11,7,0.166,57
TEACHER,SCHOOL,YES,146,19,0.128,0.036,0.0507,12,5,0.237,80,22,14,0.55,492
TEACHER,SMART,YES,146,6,0.041,0,0.006,12,9,0.582,80,14,13,0.876,21
TEACHER,STUDENT,YES,146,28,0.189,0.226,0.015,12,5,0.198,80,22,17,0.46,131
TEACHER,TEACH,YES,146,3,0.02,0.043,0.0168,12,5,0.144,80,15,8,0.198,41
TEAM,BASEBALL,YES,125,9,0.071,0.014,0.0161,17,10,0.392,83,18,12,0.604,57
TEAM,BASKETBALL,YES,125,3,0.024,0,0.0097,17,9,0.376,83,13,7,0.466,9
TEAM,CLUB,YES,125,2,0.016,0,0,17,13,0.699,83,22,20,0.558,145
TEAM,COACH,YES,125,2,0.016,0.283,0,17,9,0.431,83,13,6,0.158,24
TEAM,COOPERATION,NO,125,2,0.016,0,0,17,15,0.817,83,0,0,0,0
TEAM,EFFORT,YES,125,5,0.039,0,0.0004,17,13,0.747,83,18,16,0.714,145
TEAM,ESPRIT,NO,125,2,0.016,0,0,17,15,0.817,83,0,0,0,0
TEAM,FOOTBALL,YES,125,24,0.189,0.028,0.0442,17,7,0.329,83,23,14,0.512,36
TEAM,GROUP,YES,125,13,0.102,0,0.0012,17,12,0.605,83,23,21,0.761,390
TEAM,PLAY,YES,125,4,0.031,0,0.0067,17,10,0.534,83,21,18,0.619,200
TEAM,PLAYER,YES,125,4,0.031,0.115,0.0098,17,7,0.344,83,20,11,0.374,51
TEAM,SOCCER,YES,125,2,0.016,0.051,0.0112,17,9,0.424,83,8,4,0.615,3
TEAM,SPIRIT,YES,125,4,0.031,0,0,17,14,0.786,83,17,15,0.651,182
TEAM,SPORT,YES,125,14,0.11,0,0.0333,17,8,0.36,83,12,9,0.395,17
TEAM,TOGETHER,YES,125,12,0.094,0,0.002,17,13,0.621,83,19,19,0.798,267
TEAM,WIN,YES,125,2,0.016,0,0.001,17,12,0.739,83,7,6,0.858,55
TEAM,WORK,YES,125,4,0.031,0,0.0029,17,12,0.716,83,19,17,0.632,760
TEAPOT,BOIL,YES,148,3,0.02,0,0.012,19,12,0.448,0,15,11,0.318,27
TEAPOT,CHINA,YES,148,2,0.014,0,0,19,15,0.731,0,18,16,0.771,69
TEAPOT,COFFEE,YES,148,5,0.034,0,0.0737,19,11,0.313,0,13,10,0.39,78
TEAPOT,COFFEE POT,NO,148,6,0.041,0,0,19,17,0.772,0,0,0,0,0
TEAPOT,CUP,YES,148,4,0.027,0,0.0121,19,11,0.454,0,10,6,0.715,45
TEAPOT,DRINK,YES,148,4,0.027,0,0.0204,19,12,0.468,0,20,17,0.636,82
TEAPOT,ENGLAND,YES,148,3,0.02,0,0,19,16,0.752,0,12,9,0.599,157
TEAPOT,HOT,YES,148,12,0.081,0,0.019,19,12,0.441,0,8,7,0.873,130
TEAPOT,KETTLE,YES,148,23,0.155,0.032,0.0014,19,9,0.231,0,14,6,0.405,3
TEAPOT,KITCHEN,YES,148,2,0.014,0,0.0003,19,15,0.744,0,22,19,0.803,90
TEAPOT,LITTLE,YES,148,2,0.014,0,0,19,16,0.758,0,7,7,0.885,831
TEAPOT,SHORT,YES,148,3,0.02,0,0,19,16,0.752,0,9,7,0.834,212
TEAPOT,SMOKE,YES,148,2,0.014,0,0.0031,19,15,0.724,0,11,11,0.819,41
TEAPOT,STEAM,YES,148,5,0.034,0,0.0052,19,9,0.218,0,18,10,0.353,17
TEAPOT,STOVE,YES,148,2,0.014,0,0.0057,19,13,0.508,0,11,8,0.605,15
TEAPOT,TEA,YES,148,27,0.182,0,0.0516,19,10,0.232,0,11,6,0.289,28
TEAPOT,TEA BAG,NO,148,2,0.014,0,0,19,17,0.772,0,0,0,0,0
